,Unnamed: 0_x,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x.1,PPG_x,FGM_x,FGA_x,FGM_x.1,FGA_x.1,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x.1,GP_y.1,PPG_y,FGM_y,FGA_y,FGM_y.1,FGA_y.1,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y.1,GP_x.2,PPG_x.1,FTM_x,FTA_x,FTM_x.1,FTA_x.1,FT%_x,GP_y.2,PPG_y.1,FTM_y,FTA_y,FTM_y.1,FTA_y.1,FT%_y,GP_x.3,PPG_x.2,3PM_x,3PA_x,3PM_x.1,3PA_x.1,3P%_x,2PM_x.1,2PA_x.1,2P%_x.1,PPS_x.1,FG%_x.2,GP_y.3,PPG_y.2,3PM_y,3PA_y,3PM_y.1,3PA_y.1,3P%_y,2PM_y.1,2PA_y.1,2P%_y.1,PPS_y.1,FG%_y.2,GP_x.4,MPG_x.1,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y.4,MPG_y.1,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x.5,MPG_x.2,STL_x,STPG_x,STP40M_x,TO_x.1,TOPG_x.1,PF_x,ST/TO_x,ST/PF_x,GP_y.5,MPG_y.2,STL_y,STPG_y,STP40M_y,TO_y.1,TOPG_y.1,PF_y,ST/TO_y,ST/PF_y,GP_x.6,MPG_x.3,BLK_x,PF_x.1,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y.6,MPG_y.3,BLK_y,PF_y.1,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x.7,MPG_x.4,PTS_x,FGM-FGA_x,FG%_x.3,3PM-3PA_x,3P%_x.1,FTM-FTA_x,FT%_x.1,GP_y.7,MPG_y.4,PTS_y,FGM-FGA_y,FG%_y.3,3PM-3PA_y,3P%_y.1,FTM-FTA_y,FT%_y.1,GP_x.8,MPG_x.5,PTS_x.1,FGM-FGA_x.1,FG%_x.4,3PM-3PA_x.1,3P%_x.2,FTM-FTA_x.1,FT%_x.2,GP_y.8,MPG_y.5,PTS_y.1,FGM-FGA_y.1,FG%_y.4,3PM-3PA_y.1,3P%_y.2,FTM-FTA_y.1,FT%_y.2,Unnamed: 0_y,Team,Salary,Position,Season,Percentile
602,602,Pierre Jackson,BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,19.6,7.8,8.8,39,44,0.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,34.4,55,11,13,2.6,12.8,4.23,31,34.8,200,6.5,109,3.5,7.4,1.83,4,34.3,11,2.75,3.21,13,3.25,9,0.85,1.22,,,,,,,,,,,,,,,,,,,,,,,,,5,34.4,19.6,4.8-11.8,0.407,2.2-4.8,0.458,7.8-8.8,0.886,31,34.8,19.8,6.2-14.4,0.43,2.5-7.1,0.348,4.9-6.3,0.781,5,34.4,98,24-59,0.407,24-Nov,0.458,39-44,0.886,31,34.8,614,192-447,0.43,77-221,0.348,153-196,0.781,5785,Dallas Mavericks,31969, PG,2016-2017,0.012987013
251,251,PJ Tucker,TEX,4,39,16,4,34,8.5,50,12.5,12.8,33,33.9,89,2.7,214,6.5,303,9.2,10.8,,,,,,,,,,,,,30,10.7,4.2,7.5,125,225,0.556,125,225,0.556,1.43,0.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,39,15,3.8,9,2.3,3.8,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,39,59,22-46,0.478,2-Jan,0.5,14-19,0.737,33,33.9,535,203-391,0.519,1-Jan,1,128-171,0.749,4552,Phoenix Suns,5700000, SF,2014-2015,0.790804598
670,670,Pooh Jeter,PORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15.2,3.6,4.2,108,126,0.857,,,,,,,,,,,,,28,16.6,2.4,5,68,153,0.444,84,216,0.389,1.26,0.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,36,18.5,6.0-14.1,0.423,2.0-5.4,0.365,4.6-5.3,0.869,,,,,,,,,,29,36,536,173-409,0.423,57-156,0.365,133-153,0.869,3485,Sacramento Kings,473604, PG,2011-2012,0.12145749
257,257,Pops Mensah-Bonsu,GW,1,27,4,4,4,4,8,8,11.9,,,,,,,,,,1,15,7,10,7,10,0.7,7,10,0.7,1.5,0.7,29,12.6,4.6,8.2,134,237,0.565,134,237,0.565,1.54,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,2,2,2.96,0,0,3,0,0.67,,,,,,,,,,,1,27,2,3,2,2.96,0.67,29,24.4,46,80,1.59,2.6,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340,Dallas Mavericks,412718, PF,2006-2007,0.04589372
258,258,Quincy Acy,BAY,4,28.8,11,2.8,25,6.3,36,9,12.5,,,,,,,,,,4,13.3,4.8,7.3,19,29,0.655,19,29,0.655,1.83,0.655,32,9.3,3.8,5.4,121,172,0.703,121,172,0.703,1.73,0.703,4,13.3,3.8,4,15,16,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,28.8,53,19-29,0.655,0-0,0,15-16,0.938,,,,,,,,,,3995,Toronto Raptors,665000, F,2012-2013,0.152542373
456,456,Quincy Douby,RUTG,,,,,,,,,,,,,,,,,,,2,31,11.5,20.5,23,41,0.561,12,19,0.632,1.51,0.695,,,,,,,,,,,,,5,19.6,4.6,5.6,23,28,0.821,31,25.1,4.6,5.5,144,169,0.852,2,31,5.5,11,11,22,0.5,12,19,0.632,1.51,0.695,28,11.2,1.9,5,54,126,0.429,52,123,0.423,1.26,0.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,37.8,19.6,6.0-14.2,0.423,3.0-7.2,0.417,4.6-5.6,0.821,31,36.7,25.1,8.5-18.7,0.455,3.4-8.6,0.393,4.6-5.5,0.852,5,37.8,98,30-71,0.423,15-36,0.417,23-28,0.821,31,36.7,777,264-580,0.455,105-267,0.393,144-169,0.852,1246,Sacramento Kings,1240920, SG,2006-2007,0.27294686
259,259,Quincy Ford,NE,1,31,3,3,6,6,9,9,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,4,4,2,2,4.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5742,New Orleans Pelicans,543471, SG,2016-2017,0.106060606
833,833,Quincy Miller,BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22.5,6,6,1.5,2.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,Denver Nuggets,788872, SF,2013-2014,0.158441558
260,260,Quincy Pondexter,WASH,2,36,11,5.5,7,3.5,18,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21.5,5.5,6,11,12,0.917,33,19.8,5.4,6.4,178,212,0.84,,,,,,,,,,,,,,,,,,,,,,,,,1,28,4,4,2,2,5.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36,21.5,8.0-16.5,0.485,0.0-0.0,0,5.5-6.0,0.917,33,32.4,19.8,6.9-12.9,0.535,0.5-1.5,0.367,5.4-6.4,0.84,3,31.3,43,17-38,0.447,0-2,0,14-Sep,0.643,33,32.4,652,228-426,0.535,18-49,0.367,178-212,0.84,2930,New Orleans Hornets,1073280, SF,2010-2011,0.270693512
457,457,Quinn Cook,DUKE,,,,,,,,,,,,,,,,,,,1,23,8,11,8,11,0.727,1,1,1,2.09,1.045,,,,,,,,,,,,,6,13.5,2.7,3,16,18,0.889,33,15.7,2.5,2.8,82,92,0.891,1,23,7,10,7,10,0.7,1,1,1,2.09,1.045,,,,,,,,,,,,,4,31.5,24,6,7,1.8,7.6,3.43,32,33.8,166,5.2,72,2.3,6.1,2.31,1,35,2,2,2.29,2,2,3,1,0.67,,,,,,,,,,,,,,,,,,,,,,,,,1,35,23,8.0-11.0,0.727,7.0-10.0,0.7,0.0-0.0,0,,,,,,,,,,6,36.3,81,27-60,0.45,30-Nov,0.367,16-18,0.889,,,,,,,,,,5789,Dallas Mavericks,15984, PG,2016-2017,0.004329004
863,863,Quinton Ross,SMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,35.2,20.3,6.4-14.1,0.453,1.4-4.7,0.298,6.1-7.7,0.793,,,,,,,,,,30,35.2,608,191-422,0.453,42-141,0.298,184-232,0.793,1297,LA Clippers,771331, SF,2006-2007,0.149758454
261,261,Rafael Araujo,BYU,1,32,1,1,7,7,8,8,10,29,29.8,83,2.9,208,7.2,291,10,13.5,1,24,9,15,9,15,0.6,9,14,0.643,1.6,0.6,31,12.2,4.9,8.6,153,267,0.573,150,257,0.584,1.41,0.579,1,24,6,7,6,7,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,24,9.0-15.0,0.6,0.0-1.0,0,6.0-7.0,0.857,29,29.8,18.2,7.0-12.2,0.572,0.3-1.0,0.276,4.0-5.6,0.716,,,,,,,,,,29,29.8,528,202-353,0.572,29-Aug,0.276,116-162,0.716,766,Toronto Raptors,2238960, C,2005-2006,0.4475
262,262,Rajon Rondo,UK,2,32,5,2.5,13,6.5,18,9,11.3,,,,,,,,,,4,11.3,3.8,6.3,15,25,0.6,13,21,0.619,1.8,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29.8,16,4,12,3,5.4,1.33,32,30.9,158,4.9,76,2.4,6.4,2.08,4,29.8,12,3,4.03,12,3,7,1,1.71,32,30.9,68,2.13,2.75,76,2.38,64,0.89,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29.8,45,15-25,0.6,4-Feb,0.5,13-21,0.619,,,,,,,,,,1257,Boston Celtics,1143600, PG,2006-2007,0.246376812
364,364,Rakeem Christmas,SYR,,,,,,,,,,31,34.3,97,3.1,185,6,282,9.1,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,17.2,6,9,1.2,2.79,0.67,31,34.3,78,105,2.52,2.93,0.74,,,,,,,,,,31,34.3,17.5,6.5-11.9,0.552,0.0-0.0,0,4.4-6.2,0.712,,,,,,,,,,31,34.3,542,203-368,0.552,0-1,0,136-191,0.712,5238,Indiana Pacers,1007026, PF,2015-2016,0.210161663
671,671,Ramon Sessions,NEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12.5,3.7,4.4,117,141,0.83,,,,,,,,,,,,,,,,,,,,,,,,,2,38,8,4,6,3,4.2,1.33,32,29.8,151,4.7,79,2.5,6.3,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743,Milwaukee Bucks,427163, G,2007-2008,0.081339713
263,263,Randolph Morris,UK,2,30.5,4,2,15,7.5,19,9.5,12.5,32,27.4,63,2,182,5.7,245,7.7,11.2,4,10.3,3.5,6.5,14,26,0.538,14,26,0.538,1.58,0.538,32,15.8,6,10.2,193,326,0.592,193,326,0.592,1.55,0.592,2,11.5,5.5,6,11,12,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,21.8,5,11,1.25,2.3,0.45,32,27.4,65,72,2.03,2.97,0.9,2,30.5,20.5,4.5-7.5,0.6,0.0-0.0,0,11.5-15.5,0.742,,,,,,,,,,4,21.8,41,14-26,0.538,0-0,0,13-19,0.684,,,,,,,,,,1299,New York Knicks,750000, C,2006-2007,0.144927536
264,264,Randy Foye,VILL,4,38.8,9,2.3,20,5,29,7.3,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23.8,6,7,24,28,0.857,30,10.1,2.1,2.5,63,76,0.829,1,14,2,4,2,4,0.5,1,5,0.2,1.56,0.444,,,,,,,,,,,,,3,32.3,13,4.3,11,3.7,5.4,1.18,,,,,,,,,4,38.8,11,2.75,2.84,12,3,10,0.92,1.1,29,31.7,61,2.1,2.66,57,1.97,67,1.07,0.91,,,,,,,,,,,,,,,4,38.8,23.8,7.8-20.0,0.388,2.3-8.0,0.281,6.0-7.0,0.857,29,34.1,20.1,6.7-16.2,0.415,2.8-7.7,0.36,3.9-5.0,0.778,4,38.8,95,31-80,0.388,Sep-32,0.281,24-28,0.857,29,34.1,582,195-470,0.415,80-222,0.36,112-144,0.778,1167,Minnesota Timberwolves,2448240, SG,2006-2007,0.463768116
458,458,Rashad McCants,UNC,,,,,,,,,,,,,,,,,,,3,21.7,8,14.7,24,44,0.545,16,25,0.64,1.48,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,6,17,2.5,5,15,30,0.5,21,44,0.477,1.38,0.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,33.3,6,2,2.4,5,1.67,8,1.2,0.75,,,,,,,,,,,2,35.5,2,4,1,1.13,0.5,,,,,,,,6,28.3,17,6.0-12.3,0.486,2.5-5.0,0.5,2.5-3.7,0.682,28,31.8,20.1,7.2-14.8,0.484,2.6-6.2,0.414,3.2-4.3,0.748,6,28.3,102,36-74,0.486,15-30,0.5,15-22,0.682,32,29.6,529,191-394,0.485,64-155,0.413,83-116,0.716,811,Minnesota Timberwolves,1538400, SG,2005-2006,0.335
265,265,Rashawn Thomas,AMCC,5,34.8,12,2.4,43,8.6,55,11,12.6,29,33.5,66,2.3,184,6.3,250,8.6,10.3,2,13,5.5,7.5,11,15,0.733,10,13,0.769,1.73,0.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,34.8,10,17,2,2.3,0.59,29,33.5,59,101,2.03,2.43,0.58,5,34.8,25.8,9.4-18.4,0.511,1.4-3.0,0.467,5.6-7.8,0.718,29,33.5,21.9,7.6-14.4,0.527,0.2-0.8,0.318,6.4-8.9,0.722,5,34.8,129,47-92,0.511,15-Jul,0.467,28-39,0.718,29,33.5,636,221-419,0.527,22-Jul,0.318,187-259,0.722,6201,Oklahoma City Thunder,815615, PF,2017-2018,0.114470842
603,603,Rasheed Sulaimon,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,4.3,5,13,15,0.867,,,,,,,,,,,,,,,,,,,,33,11.1,1.7,4,55,123,0.447,70,146,0.479,1.36,0.567,,,,,,,,,,,,,,,,,3,37.7,7,2.33,2.48,4,1.33,6,1.75,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5740,Charlotte Hornets,543471, G,2016-2017,0.11038961
852,852,Rasheed Sulaimon,DUKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,20,6.0-15.0,0.4,5.0-12.0,0.417,3.0-3.0,1,,,,,,,,,,4,30,47,27-Sep,0.333,13-Apr,0.308,25-32,0.781,,,,,,,,,,5740,Charlotte Hornets,543471, G,2016-2017,0.11038961
365,365,Rasual Butler,LAS,,,,,,,,,,32,39.1,75,2.3,208,6.5,283,8.8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,21,4.6,5.4,147,172,0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,39.1,21,7.3-16.8,0.435,1.8-4.9,0.361,4.6-5.4,0.855,,,,,,,,,,32,39.1,672,234-538,0.435,57-158,0.361,147-172,0.855,821,"NO/Oklahoma City


 Hornets",1300000, SF,2005-2006,0.31
266,266,Rawle Marshall,OAK,2,38.5,5,2.5,9,4.5,14,7,7.3,30,36,80,2.7,152,5.1,232,7.7,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,36,56,1.87,2.07,93,3.1,70,0.6,0.8,,,,,,,,28,34.8,41,81,1.46,1.68,0.51,2,38.5,22.5,7.0-16.5,0.424,1.5-3.5,0.429,7.0-10.5,0.667,30,36,19.7,6.5-14.8,0.441,1.2-4.2,0.288,5.4-7.4,0.738,2,38.5,45,14-33,0.424,7-Mar,0.429,14-21,0.667,30,36,591,196-444,0.441,36-125,0.288,163-221,0.738,935,Dallas Mavericks,398762, SF,2005-2006,0.025
604,604,Ray McCallum,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,8,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37,5,5,1,1,5.4,5,32,36.6,145,4.5,65,2,5,2.23,1,38,4,4,4.21,3,3,3,1.33,1.33,32,36.6,60,1.88,2.05,65,2.03,63,0.92,0.95,,,,,,,,,,,,,,,,,,,,,,,,32,36.6,18.8,6.6-13.2,0.496,1.3-4.0,0.331,4.3-6.2,0.706,,,,,,,,,,35,33.6,547,188-404,0.465,30-120,0.25,141-184,0.766,4418,Sacramento Kings,524616, PG,2013-2014,0.111688312
605,605,Raymond Felton,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11.5,3,3.5,6,7,0.857,,,,,,,,6,13.7,2.5,6,15,34,0.441,11,27,0.407,1.34,0.549,30,12.7,1.8,4,55,125,0.44,69,144,0.479,1.42,0.563,6,33,41,6.8,18,3,8.3,2.28,32,35.3,201,6.3,118,3.7,7.1,1.7,3,36.7,7,2.33,2.55,12,4,6,0.58,1.17,28,34.6,58,2.07,2.4,94,3.36,64,0.62,0.91,3,36.7,3,6,1,1.09,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,6,33,82,26-61,0.426,15-34,0.441,15-20,0.75,,,,,,,,,,734,Charlotte Bobcats,2847360, PG,2005-2006,0.5275
606,606,Reece Gaines,LOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19.5,5,6,10,12,0.833,,,,,,,,4,22,5,10,20,38,0.526,12,22,0.545,1.47,0.7,,,,,,,,,,,,,4,33,16,4,18,4.5,4.8,0.89,30,32.1,151,5,86,2.9,6.3,1.76,4,33,12,3,3.64,18,4.5,8,0.67,1.5,,,,,,,,,,,2,32.5,2,5,1,1.23,0.4,,,,,,,,4,33,22,8.0-15.0,0.533,5.0-9.5,0.526,1.0-2.0,0.5,30,32.8,21.1,6.6-14.4,0.457,2.8-7.5,0.375,5.1-6.4,0.798,4,33,88,32-60,0.533,20-38,0.526,8-Apr,0.5,30,32.8,634,198-433,0.457,84-224,0.375,154-193,0.798,809,Milwaukee Bucks,1556160, PG,2005-2006,0.34
737,737,Reggie Bullock,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,14.2,2.5,6,84,192,0.438,83,149,0.557,1.37,0.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3888,Detroit Pistons,1149000, SG,2012-2013,0.354048964
267,267,Reggie Evans,IOWA,1,33,2,2,7,7,9,9,10.9,33,34,121,3.7,248,7.5,369,11.2,13.1,1,10,3,5,3,5,0.6,3,5,0.6,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,34,515,166-336,0.494,0-1,0,183-294,0.622,789,Seattle SuperSonics,1760000, C,2005-2006,0.39
738,738,Reggie Jackson,DUQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,9.8,1.1,3,32,73,0.438,62,135,0.459,1.37,0.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3380,Oklahoma City Thunder,1156320, PG,2011-2012,0.334008097
797,797,Reggie Jackson,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,34,145,4.5,73,2.3,5.3,1.99,1,19,3,3,6.32,2,2,1,1.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,34,18.4,6.5-12.9,0.502,2.1-5.0,0.419,3.3-4.2,0.789,,,,,,,,,,32,34,588,208-414,0.502,67-160,0.419,105-133,0.789,3380,Oklahoma City Thunder,1156320, PG,2011-2012,0.334008097
366,366,Reggie Williams,VMI,,,,,,,,,,33,32.4,110,3.3,153,4.6,263,8,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32.4,146,4.4,98,3,5.5,1.49,,,,,,,,,,,25,35.1,55,2.2,2.51,76,3.04,53,0.72,1.04,,,,,,,,,,,,,,,,,,,,,,,,33,32.4,28.1,10.2-19.3,0.531,2.3-7.2,0.319,5.3-8.1,0.659,,,,,,,,,,33,32.4,928,338-636,0.531,76-238,0.319,176-267,0.659,2583,Golden State Warriors,118435, SF,2009-2010,0.05
268,268,Renaldo Balkman,SC,5,29.2,12,2.4,27,5.4,39,7.8,10.7,,,,,,,,,,5,8.2,3.8,6.6,19,33,0.576,19,31,0.613,1.24,0.576,33,9.8,4,6.6,133,217,0.613,129,206,0.626,1.49,0.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,29.2,10,2,2.74,8,1.6,13,1.25,0.77,,,,,,,,,,,5,29.2,10,13,2,2.74,0.77,32,18.2,42,70,1.31,2.89,0.6,,,,,,,,,,,,,,,,,,,5,29.2,41,19-33,0.576,0-2,0,10-Mar,0.3,,,,,,,,,,1250,New York Knicks,1191240, SF,2006-2007,0.263285024
367,367,Richaun Holmes,BGSU,,,,,,,,,,30,28.9,84,2.8,153,5.1,237,7.9,10.9,,,,,,,,,,,,,30,14.8,5.4,9.6,162,287,0.564,144,246,0.585,1.54,0.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,88,90,2.75,3.44,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5233,Philadelphia 76ers,1074169, PF,2015-2016,0.221709007
269,269,Rob Kurz,ND,1,24,4,4,6,6,10,10,16.7,31,28.6,61,2,170,5.5,231,7.5,10.4,1,13,5,6,5,6,0.833,5,6,0.833,2.17,0.833,,,,,,,,,,,,,2,9,3.5,3.5,7,7,1,31,12.8,3.9,4.5,120,141,0.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,5,9,2.5,3.57,0.56,30,28.1,45,80,1.5,2.13,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2599,Boston Celtics,25991, SF,2009-2010,0.011904762
270,270,Robbie Hummel,PUR,2,35,1,0.5,15,7.5,16,8,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,11.6,3,3.5,92,107,0.86,2,18,3.5,7,7,13,0.538,5,9,0.556,1.64,0.705,31,11.6,1.3,3,40,86,0.465,74,143,0.517,1.57,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,18,6.0-11.0,0.545,3.5-6.5,0.538,2.5-3.5,0.714,,,,,,,,,,,,,,,,,,,33,32.1,537,182-443,0.411,65-175,0.371,108-130,0.831,4820,Minnesota Timberwolves,880000, SF,2014-2015,0.174712644
271,271,Robert Covington,TNST,1,36,6,6,7,7,13,13,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,4,7,4,7,0.571,3,8,0.375,1.2,0.6,30,13.4,1.3,3,40,87,0.46,110,213,0.516,1.34,0.567,,,,,,,,,,,,,,,,,1,36,4,4,4.44,4,4,4,1,1,,,,,,,,,,,1,36,3,4,3,3.33,0.75,,,,,,,,1,36,19,8.0-15.0,0.533,1.0-4.0,0.25,2.0-2.0,1,33,30.6,17.8,6.4-12.0,0.531,1.9-4.3,0.447,3.2-4.0,0.782,,,,,,,,,,33,30.6,589,211-397,0.531,63-141,0.447,104-133,0.782,4422,Houston Rockets,490180, SF,2013-2014,0.101298701
272,272,Robert Hite,MIA,3,36,4,1.3,18,6,22,7.3,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,16.4,2.2,2.6,68,82,0.829,1,23,5,10,5,10,0.5,3,9,0.333,1.21,0.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30.4,61,2.03,2.67,65,2.17,60,0.94,1.02,,,,,,,,,,,,,,,3,36,16.7,6.3-16.0,0.396,3.0-7.7,0.391,1.0-1.7,0.6,28,33.3,17.1,6.1-14.6,0.417,2.4-6.4,0.374,2.5-2.9,0.863,3,36,50,19-48,0.396,23-Sep,0.391,5-Mar,0.6,31,32.9,508,182-398,0.457,76-184,0.413,68-82,0.829,1335,Miami Heat,412718, SG,2006-2007,0.057971014
