,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x,PPG_x,FGM_x,FGA_x,FGM_x,FGA_x,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,FGM_y,FGA_y,FGM_y,FGA_y,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,PPG_x,FTM_x,FTA_x,FTM_x,FTA_x,FT%_x,GP_y,PPG_y,FTM_y,FTA_y,FTM_y,FTA_y,FT%_y,GP_x,PPG_x,3PM_x,3PA_x,3PM_x,3PA_x,3P%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,3PM_y,3PA_y,3PM_y,3PA_y,3P%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,MPG_x,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y,MPG_y,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x,MPG_x,STL_x,STPG_x,STP40M_x,TO_x,TOPG_x,PF_x,ST/TO_x,ST/PF_x,GP_y,MPG_y,STL_y,STPG_y,STP40M_y,TO_y,TOPG_y,PF_y,ST/TO_y,ST/PF_y,GP_x,MPG_x,BLK_x,PF_x,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y,MPG_y,BLK_y,PF_y,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y
621,T.J. Ford,TEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13.0,5.3,6.3,16,19,.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31.7,18,6.0,15,5.0,7.6,1.20,28,33.4,203,7.3,91,3.3,8.7,2.23,3,31.7,9,3.00,3.79,15,5.00,9,0.60,1.00,28,33.4,56,2.00,2.40,91,3.25,67,0.62,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31.7,39,11-28,.393,1-3,.333,16-19,.842,,,,,,,,,
622,T.J. McConnell,ARIZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15.5,3.5,3.5,14,14,1.000,,,,,,,,4,8.0,1.5,3,6,12,.500,5,19,.263,1.03,.452,,,,,,,,,,,,,,,,,,,,,34,29.9,218,6.4,67,2.0,8.6,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35.0,62,23-43,.535,2-12,.167,14-14,1.000,,,,,,,,,
623,Taurean Green,FLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10.5,4.3,4.8,26,29,.897,33,13.8,4.4,5.0,145,164,.884,2,8.5,1.5,2,3,4,.750,1,4,.250,2.13,.688,,,,,,,,,,,,,6,35.7,23,3.8,12,2.0,4.3,1.92,33,33.0,161,4.9,112,3.4,5.9,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,35.7,63,14-51,.275,9-35,.257,26-29,.897,,,,,,,,,
624,Taylor Griffin,OKLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.5,3.5,4.0,7,8,.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35.0,9,2.25,2.57,11,2.75,11,0.82,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Tayshaun Prince,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23.7,4.0,4.7,12,14,.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,32.9,40,46,1.38,1.68,0.87,3,37.3,23.7,8.3-17.0,.490,3.0-7.0,.429,4.0-4.7,.857,,,,,,,,,,3,37.3,71,25-51,.490,9-21,.429,12-14,.857,,,,,,,,,
626,Terrence Ross,WASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,25.0,3.8,3.8,15,15,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31.8,25.0,8.8-18.3,.479,3.8-9.3,.405,3.8-3.8,1.000,,,,,,,,,,4,31.8,100,35-73,.479,15-37,.405,15-15,1.000,,,,,,,,,
627,Terrence Williams,CHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.0,4.0,4.0,4,4,1.000,,,,,,,,1,12.0,2.0,3,2,3,.667,1,5,.200,1.50,.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Terry Rozier,LOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16.8,3.5,3.8,14,15,.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40.8,19,4.8,10,2.5,4.7,1.90,,,,,,,,,,,,,,,,,,,32,34.3,65,2.03,2.37,69,2.16,55,0.94,1.18,,,,,,,,,,,,,,,,,,,,,,,,32,34.3,17.1,5.9-14.4,.411,1.4-4.5,.310,3.9-5.0,.776,4,40.8,67,25-61,.410,3-12,.250,14-15,.933,32,34.3,548,189-460,.411,45-145,.310,125-161,.776
629,Tobias Harris,TENN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19.0,7.0,7.0,7,7,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36.0,2,0,2.00,2.22,0.00,,,,,,,,1,36.0,19.0,6.0-11.0,.545,0.0-1.0,.000,7.0-7.0,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Travis Diener,MARQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17.7,4.0,4.7,12,14,.857,23,19.7,5.4,6.4,124,148,.838,,,,,,,,,,,,,28,19.0,3.0,7,83,182,.456,79,203,.389,1.38,.529,3,29.7,23,7.7,9,3.0,10.3,2.56,23,34.0,160,7.0,58,2.5,8.2,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,29.7,17.7,5.7-13.0,.436,2.3-6.3,.368,4.0-4.7,.857,23,34.0,19.7,5.7-13.6,.420,3.0-7.3,.405,5.4-6.4,.838,3,29.7,53,17-39,.436,7-19,.368,12-14,.857,28,34.7,531,162-385,.421,83-182,.456,124-140,.886
631,Trey Burke,MICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.0,4.0,4.0,4,4,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40.0,5,5.0,2,2.0,5.0,2.50,33,35.2,222,6.7,67,2.0,7.6,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,35.2,19.2,6.9-14.5,.479,2.0-4.9,.401,3.4-4.2,.793,6,35.8,93,30-82,.366,11-36,.306,22-26,.846,33,35.2,634,229-478,.479,65-162,.401,111-140,.793
632,Trey Johnson,JKST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.0,7.0,7.0,7,7,1.000,,,,,,,,,,,,,,,,,,,,32,23.5,2.1,5,67,152,.441,188,408,.461,1.34,.515,1,39.0,5,5.0,1,1.0,5.1,5.00,,,,,,,,,1,39.0,2,2.00,2.05,1,1.00,2,2.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,1,39.0,25.0,8.0-21.0,.381,2.0-6.0,.333,7.0-7.0,1.000,32,34.8,23.5,8.0-17.5,.455,2.1-4.8,.441,5.4-7.3,.750,,,,,,,,,,32,34.8,751,255-560,.455,67-152,.441,174-232,.750
633,Tristan Thompson,UNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28.0,10.0,10.0,10,10,1.000,33,18.0,6.4,7.7,211,253,.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40.0,28.0,7.0-15.0,.467,4.0-9.0,.444,10.0-10.0,1.000,33,32.0,18.0,4.8-10.4,.459,2.0-4.8,.418,6.4-7.7,.834,,,,,,,,,,33,32.0,593,158-344,.459,66-158,.418,211-253,.834
634,Ty Lawson,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14.4,4.2,4.6,21,23,.913,,,,,,,,4,10.3,1.5,4,6,14,.429,9,24,.375,1.08,.474,30,15.9,1.4,3,42,90,.467,112,196,.571,1.67,.612,5,25.4,22,4.4,8,1.6,6.9,2.75,27,25.3,143,5.3,62,2.3,8.4,2.31,5,33.0,16,3.20,3.88,7,1.40,8,2.29,2.00,30,29.4,59,1.97,2.67,59,1.97,51,1.00,1.16,,,,,,,,,,,,,,,5,33.0,20.8,5.6-11.2,.500,1.8-3.6,.500,7.8-10.2,.765,,,,,,,,,,5,25.4,72,22-42,.524,7-15,.467,21-23,.913,,,,,,,,,
635,Tyler Ennis,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17.5,3.0,3.0,6,6,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38.0,9,4.5,3,1.5,4.7,3.00,32,35.6,178,5.6,55,1.7,6.3,3.24,,,,,,,,,,,32,35.6,68,2.13,2.39,55,1.72,64,1.24,1.06,,,,,,,,,,,,,,,2,38.0,17.5,7.0-16.0,.438,0.5-3.5,.143,3.0-3.0,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Tyus Jones,DUKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,13.0,3.7,4.0,22,24,.917,33,11.6,3.7,4.2,122,138,.884,,,,,,,,,,,,,,,,,,,,,,,,,6,36.7,27,4.5,8,1.3,4.9,3.38,33,33.4,190,5.8,68,2.1,6.9,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,36.7,78,25-59,.424,6-17,.353,22-24,.917,,,,,,,,,
637,Wade Baldwin IV,VAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.0,3.0,3.0,3,3,1.000,,,,,,,,3,12.7,1.7,3,5,9,.556,4,11,.364,1.90,.575,,,,,,,,,,,,,1,33.0,5,5.0,4,4.0,6.1,1.25,32,28.7,142,4.4,63,2.0,6.2,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Wayne Ellington,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16.0,2.2,2.6,11,13,.846,,,,,,,,6,19.2,2.8,5,17,32,.531,27,48,.563,1.44,.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,29.4,16.0,6.2-14.0,.443,1.4-5.0,.280,2.2-2.6,.846,,,,,,,,,,4,24.5,34,13-39,.333,4-16,.250,4-5,.800,34,31.4,567,206-437,.471,71-170,.418,84-102,.824
639,Wesley Matthews,MARQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.0,5.0,6.0,5,6,.833,33,18.4,6.1,7.3,200,242,.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31.0,1,4,1.00,1.29,0.25,,,,,,,,2,36.5,17.5,5.0-15.5,.323,1.0-4.0,.250,6.5-7.5,.867,33,33.9,18.4,5.5-11.4,.488,1.2-3.2,.377,6.1-7.3,.826,,,,,,,,,,33,33.9,606,183-375,.488,40-106,.377,200-242,.826
640,Wesley Person,TROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15.0,3.0,3.0,3,3,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,34.0,582,174-416,.418,97-256,.379,137-167,.820
641,Yogi Ferrell,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24.0,6.0,6.0,6,6,1.000,33,16.1,3.2,3.7,105,123,.854,1,24.0,4.0,6,4,6,.667,3,9,.333,1.60,.600,,,,,,,,,,,,,3,36.0,18,6.0,5,1.7,6.7,3.60,32,34.6,177,5.5,83,2.6,6.4,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34.0,24.0,7.0-15.0,.467,4.0-6.0,.667,6.0-6.0,1.000,,,,,,,,,,3,36.0,63,18-40,.450,9-20,.450,18-20,.900,33,34.9,531,174-397,.438,78-191,.408,105-123,.854
642,Alex Acker,PEPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,16.6,2.9,3.4,91,106,.858,,,,,,,,,,,,,31,16.6,1.9,4,59,137,.431,124,270,.459,1.27,.522,,,,,,,,,,,,,,,,,,,,,,,,,,,29,32.4,53,1.83,2.26,72,2.48,63,0.74,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,37.2,516,183-407,.450,59-137,.431,91-106,.858
643,Andre Barrett,HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,16.7,4.1,5.0,120,144,.833,,,,,,,,,,,,,,,,,,,,,,,,,1,38.0,5,5.0,4,4.0,5.3,1.25,30,34.5,151,5.0,83,2.8,5.8,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38.0,17.0,7.0-15.0,.467,1.0-6.0,.167,2.0-2.0,1.000,29,35.9,17.6,6.1-13.3,.457,2.4-6.1,.392,3.0-4.0,.765,,,,,,,,,,30,34.5,506,164-414,.396,68-198,.343,110-146,.753
644,Andre Ingram,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15.2,2.6,3.2,79,95,.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Andrew Andrews,WASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,20.9,7.8,9.2,251,295,.851,,,,,,,,,,,,,,,,,,,,,,,,,2,34.0,11,5.5,7,3.5,6.5,1.57,32,33.8,155,4.8,88,2.8,5.7,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34.0,21.0,4.5-11.5,.391,1.0-2.0,.500,11.0-13.0,.846,32,33.8,20.9,5.4-13.7,.393,2.3-5.9,.399,7.8-9.2,.851,,,,,,,,,,32,33.8,670,172-438,.393,75-188,.399,251-295,.851
646,Anthony Johnson,MONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,17.6,5.6,6.4,162,186,.871,,,,,,,,,,,,,31,19.6,1.5,3,45,97,.464,138,265,.521,1.68,.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,31.3,17.6,5.7-11.2,.503,0.7-1.9,.345,5.6-6.4,.871,,,,,,,,,,31,34.9,609,183-362,.506,45-97,.464,198-225,.880
647,Anthony Morrow,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,16.0,2.3,2.5,63,71,.887,1,11.0,3.0,6,3,6,.500,0,3,.000,1.22,.500,28,16.0,2.8,7,78,182,.429,76,166,.458,1.29,.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.0,1,2,1.00,1.54,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Austin Daye,GONZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,10.6,2.8,3.1,89,100,.890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26.7,8,10,2.67,4.00,0.80,32,18.4,54,78,1.69,3.67,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Bryce Alford,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,15.1,3.4,4.0,112,133,.842,3,19.0,4.7,7,14,22,.636,4,15,.267,1.54,.676,,,,,,,,,,,,,,,,,,,,,32,36.3,167,5.2,63,2.0,5.8,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,38.3,19.0,6.0-12.3,.486,4.7-7.3,.636,2.3-3.0,.778,,,,,,,,,,3,38.3,57,18-37,.486,14-22,.636,7-9,.778,,,,,,,,,
650,Buddy Hield,OKLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,25.0,4.8,5.4,154,172,.895,,,,,,,,,,,,,32,25.0,4.0,9,127,274,.464,132,248,.532,1.53,.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,37.6,25.2,8.4-15.8,.532,4.0-9.6,.417,4.4-5.6,.786,32,32.1,17.5,5.9-14.1,.416,2.7-7.3,.371,3.0-3.7,.822,3,35.7,51,17-46,.370,7-27,.259,10-12,.833,32,32.1,559,188-452,.416,86-232,.371,97-118,.822
651,CJ McCollum,LEH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,21.8,6.4,7.5,197,233,.845,,,,,,,,,,,,,32,18.9,2.2,5,70,163,.429,126,258,.488,1.44,.549,,,,,,,,,,,,,,,,,1,37.0,3,3.00,3.24,5,5.00,1,0.60,3.00,31,34.5,77,2.48,2.88,88,2.84,53,0.88,1.45,,,,,,,,,,,,,,,1,37.0,26.0,7.0-21.0,.333,2.0-8.0,.250,10.0-13.0,.769,32,31.7,18.9,6.1-13.2,.466,2.2-5.1,.429,4.5-5.5,.813,2,36.5,44,14-46,.304,2-13,.154,14-20,.700,32,31.7,605,196-421,.466,70-163,.429,143-176,.813
652,Cartier Martin,KSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,18.0,4.7,5.6,132,157,.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35.5,4,2.00,2.25,3,1.50,8,1.33,0.50,,,,,,,,,,,,,,,,,,,,,,,,,2,35.5,20.0,7.0-15.5,.452,3.5-11.5,.304,2.5-5.0,.500,33,27.0,16.9,5.5-12.0,.461,2.2-5.4,.397,3.7-4.5,.819,2,35.5,40,14-31,.452,7-23,.304,5-10,.500,33,27.0,559,183-397,.461,71-179,.397,122-149,.819
653,Chasson Randle,STAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,18.9,5.1,5.7,163,182,.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39.7,8,2.67,2.69,15,5.00,5,0.53,1.60,,,,,,,,,,,,,,,,,,,,,,,,,3,39.7,19.0,6.0-16.0,.375,2.0-6.3,.316,5.0-6.3,.789,33,34.7,18.7,6.1-12.5,.485,1.9-4.7,.397,4.7-6.2,.765,3,39.7,57,18-48,.375,6-19,.316,15-19,.789,33,34.7,618,200-412,.485,62-156,.397,156-204,.765
654,Coby Karl,BSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,14.8,3.7,4.5,116,139,.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,33.6,17.2,5.2-12.1,.427,2.4-6.1,.395,4.4-5.6,.796,,,,,,,,,,,,,,,,,,
655,Cory Higgins,COLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,17.4,5.7,6.8,176,212,.830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,33.4,60,1.94,2.32,72,2.32,77,0.83,0.78,,,,,,,,,,,,,,,4,31.0,18.3,6.0-13.5,.444,1.5-4.5,.333,4.8-6.0,.792,31,33.4,18.9,6.2-12.3,.505,1.0-2.9,.356,5.5-6.5,.833,4,31.0,73,24-54,.444,6-18,.333,19-24,.792,31,33.4,587,193-382,.505,32-90,.356,169-203,.833
656,Dan Dickau,GONZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,20.8,5.1,5.8,157,180,.872,,,,,,,,,,,,,31,20.8,3.6,8,113,242,.467,75,176,.426,1.55,.585,,,,,,,,,31,34.5,146,4.7,92,3.0,5.5,1.59,1,39.0,2,2.00,2.05,0,0.00,2,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,1,39.0,26.0,7.0-24.0,.292,4.0-14.0,.286,8.0-11.0,.727,31,34.5,20.8,6.1-13.5,.450,3.6-7.8,.467,5.1-5.8,.872,,,,,,,,,,31,34.5,646,188-418,.450,113-242,.467,157-180,.872
657,Demetrius Jackson,PAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,13.1,3.9,4.6,117,138,.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Derrick Williams,BSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,11.1,2.7,3.4,74,91,.813,,,,,,,,,,,,,27,11.1,2.0,5,53,123,.431,34,84,.405,1.45,.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Devin Brown,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,5.8,2.3,2.6,73,83,.880,,,,,,,,,,,,,30,12.5,2.1,5,64,143,.448,49,112,.438,1.47,.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Dionte Christmas,TEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20.0,4.3,4.9,128,147,.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36.0,2,2.00,2.22,2,2.00,4,1.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,1,40.0,29.0,8.0-16.0,.500,5.0-11.0,.455,8.0-10.0,.800,30,34.3,20.0,6.4-13.7,.466,2.9-7.3,.400,4.3-4.9,.871,,,,,,,,,,30,34.3,600,192-412,.466,88-220,.400,128-147,.871
661,Eric Gordon,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,21.3,7.4,8.7,229,271,.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37.0,3,3.00,3.24,3,3.00,2,1.00,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,34.6,21.3,5.8-13.2,.441,2.3-6.5,.347,7.4-8.7,.845,,,,,,,,,,31,34.6,661,181-410,.441,70-202,.347,229-271,.845
662,Gal Mekel,WICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,9.3,2.3,2.6,71,81,.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Gary Neal,LAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,17.9,4.0,4.7,111,131,.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,32.8,501,163-396,.412,64-189,.339,111-131,.847
664,Jarell Eddie,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12.3,2.5,3.0,80,95,.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Jason Kapono,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,16.8,2.8,3.2,81,92,.880,,,,,,,,,,,,,30,16.7,2.8,6,84,181,.464,75,162,.463,1.46,.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Jayson Tatum,DUKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,16.9,4.1,4.7,110,127,.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34.5,4,9,2.00,2.32,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Jerryd Bayless,ARIZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,20.0,6.4,7.6,185,221,.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,35.6,20.0,5.8-12.7,.459,2.0-4.9,.408,6.4-7.6,.837,,,,,,,,,,29,35.6,581,169-368,.459,58-142,.408,185-221,.837
