,PTS_x,DRPG_x,TOPG_x,PF_x,RPG_x
150,,7.0,,,10.0
203,,6.0,,1.0,12.0
35,,9.0,4.0,,10.0
405,,,,,
238,,4.0,,,10.0
421,,,2.5,13.0,
695,20.0,,,2.0,
364,,,,,
670,,,,4.0,
451,17.0,,1.0,2.0,
867,,,,,
110,20.5,5.0,,6.0,8.3
833,,,,,
563,16.7,,,,
227,,6.3,3.7,,9.0
374,,,,,
677,,,0.0,,
267,,7.0,,,9.0
523,20.0,,,,
56,,6.0,,5.0,9.5
435,18.2,,,10.0,
798,,,,2.0,
813,,,,3.0,
614,18.5,,,,
356,19.5,,,,
206,,6.0,,,10.3
434,37.0,,4.0,,
605,17.5,,3.3,9.0,
710,,,,7.0,
656,26.0,,,2.0,
378,,,,,
636,,,1.3,,
132,18.0,1.0,,,13.0
696,19.0,,,0.0,
42,19.0,6.5,,,9.5
7,19.0,6.0,,3.0,10.0
482,15.2,,3.5,5.0,
345,,,,,
279,19.0,10.0,,,11.0
882,,,,,
518,,,,,
189,,8.5,,,9.5
715,21.0,,,,
320,,,,,
716,,,,,
335,,,,,
67,,5.0,,7.0,8.5
205,,6.8,,,8.5
639,17.5,,,,
103,,6.4,,,8.8
842,23.0,,,,
104,19.0,7.0,7.0,,13.0
725,,,,,
401,,,,,
685,17.0,,,4.0,
591,,,1.0,,
251,,3.3,2.3,,7.0
259,,6.0,2.0,,9.0
3,26.0,5.0,3.0,,7.5
180,,7.0,,3.0,10.0
630,17.7,,3.0,,
240,,7.7,,,10.7
551,22.0,,4.0,4.0,
431,19.3,,,,
234,,5.3,,6.0,7.0
516,15.0,,,3.0,
393,21.0,,3.5,8.0,
781,20.0,,2.0,,
504,24.3,,,6.0,
283,,4.0,,,8.0
72,18.3,8.0,,,9.0
87,,8.0,,,11.5
255,16.0,6.4,,5.0,11.6
804,,,,,
652,20.0,,,8.0,
107,21.0,6.0,,,12.0
252,19.0,8.0,,1.0,14.0
490,,,,,
579,17.3,,3.5,,
118,,6.5,,,11.0
351,,,,,
859,18.5,,,,
16,18.0,5.0,,,10.0
241,,8.0,,,10.0
127,19.0,5.0,2.0,6.0,7.5
615,18.3,,2.0,,
232,19.0,3.0,,,8.0
866,17.0,,,,
700,22.0,,3.0,3.0,
783,,,3.5,,
755,,,2.0,6.0,
120,,5.0,,,8.0
545,20.8,,1.8,,
457,,,,,
789,,,,,
321,22.0,,,,
818,19.5,,,,
50,17.7,5.5,,,9.0
520,,,,,
694,21.4,,3.2,,
263,20.5,7.5,,,9.5
748,19.0,,3.0,,
767,19.8,,2.0,,
485,,,,,
36,19.5,6.5,,,11.5
481,26.0,,2.3,,
68,,4.5,,,7.8
281,25.0,6.0,,0.0,13.0
286,,5.0,,,8.3
461,23.0,,1.8,3.0,
809,,,,8.0,
149,18.0,7.7,,,9.7
148,16.2,7.3,,,9.7
436,23.0,,,,
210,,6.0,,,10.5
690,,,,,
336,,,,,
13,16.0,6.0,,,8.0
333,,,,,
