Team,Salary,Player,Position,Season,Percentile
Phoenix Suns,457588,Taylor Griffin, PF,2009-2010,0.078571429
Memphis Grizzlies,457588,Trey Gilder, SF,2009-2010,0.076190476
Sacramento Kings,457588,Jon Brockman, PF,2009-2010,0.073809524
Utah Jazz,457588,Wesley Matthews, SG,2009-2010,0.071428571
Atlanta Hawks,451595,Mario West, SG,2009-2010,0.069047619
Portland Trail Blazers,427316,Anthony Tolliver, PF,2009-2010,0.066666667
Milwaukee Bucks,422460,Jerry Stackhouse, SF,2009-2010,0.064285714
Utah Jazz,269169,Sundiata Gaines, PG,2009-2010,0.061904762
Washington Wizards,228226,Shaun Livingston, PG,2009-2010,0.05952381
Portland Trail Blazers,208802,Travis Diener, PG,2009-2010,0.057142857
Chicago Bulls,186271,Chris Richard, PF,2009-2010,0.054761905
Charlotte Bobcats,160244,Larry Hughes, SG,2009-2010,0.052380952
Golden State Warriors,118435,Reggie Williams, SF,2009-2010,0.05
Utah Jazz,113051,Othyus Jeffers, SG,2009-2010,0.047619048
Minnesota Timberwolves,111685,Brian Cardinal, PF,2009-2010,0.045238095
Washington Wizards,95301,Mike Harris, SF,2009-2010,0.042857143
San Antonio Spurs,88826,Garrett Temple, SG,2009-2010,0.04047619
null Unknown,75476,Kenny Hasbrouck, NA,2009-2010,0.038095238
Washington Wizards,69310,Cartier Martin, PF,2009-2010,0.035714286
New York Knicks,63127,Earl Barron, C,2009-2010,0.033333333
null Unknown,59217,Curtis Jerrells, NA,2009-2010,0.030952381
Phoenix Suns,48559,Dwayne Jones II, PF,2009-2010,0.028571429
Sacramento Kings,47651,Joey Dorsey, PF,2009-2010,0.026190476
Washington Wizards,45759,Alonzo Gee, SF,2009-2010,0.023809524
Portland Trail Blazers,43703,Shavlik Randolph, PF,2009-2010,0.021428571
Oklahoma City Thunder,40375,Mustafa Shakur, PG,2009-2010,0.019047619
Washington Wizards,40375,Cedric Jackson, G,2009-2010,0.016666667
Miami Heat,29135,Alexander Johnson, SF,2009-2010,0.014285714
Boston Celtics,25991,Rob Kurz, SF,2009-2010,0.011904762
Golden State Warriors,17328,Coby Karl, PG,2009-2010,0.00952381
Utah Jazz,10767,Brian Butch, C,2009-2010,0.007142857
Portland Trail Blazers,5383,Greg Stiemsma, C,2009-2010,0.004761905
Memphis Grizzlies,2692,Tony Gaffney, SF,2009-2010,0.002380952
Boston Celtics,2692,Oliver Lafayette, G,2009-2010,0
Los Angeles Lakers,24806250,Kobe Bryant, SF,2010-2011,0.997762864
Memphis Grizzlies,17666666,Zach Randolph, PF,2010-2011,0.995525727
Phoenix Suns,17522375,Vince Carter, SF,2010-2011,0.993288591
Dallas Mavericks,17278618,Dirk Nowitzki, PF,2010-2011,0.991051454
New York Knicks,17149243,Carmelo Anthony, PF,2010-2011,0.988814318
Orlando Magic,16647180,Dwight Howard, C,2010-2011,0.986577181
Denver Nuggets,16545454,Kenyon Martin, PF,2010-2011,0.984340045
New York Knicks,16486611,Amar'e Stoudemire, C,2010-2011,0.982102908
Atlanta Hawks,16324500,Joe Johnson, G,2010-2011,0.979865772
Philadelphia 76ers,15959099,Elton Brand, PF,2010-2011,0.977628635
New Orleans Hornets,14940153,Chris Paul, PG,2010-2011,0.975391499
Washington Wizards,19573711,Rashard Lewis, PF,2010-2011,0.973154362
Utah Jazz,14940153,Deron Williams, PG,2010-2011,0.970917226
Miami Heat,14500000,Chris Bosh, PF,2010-2011,0.968680089
Miami Heat,14500000,LeBron James, SF,2010-2011,0.966442953
Phoenix Suns,14444443,Jason Richardson, SG,2010-2011,0.964205817
Chicago Bulls,14400000,Carlos Boozer, PF,2010-2011,0.96196868
Miami Heat,14200000,Dwyane Wade, SG,2010-2011,0.959731544
LA Clippers,14000000,Baron Davis, PG,2010-2011,0.957494407
Boston Celtics,13876321,Paul Pierce, SF,2010-2011,0.955257271
Los Angeles Lakers,13700000,Andrew Bynum, C,2010-2011,0.953020134
Memphis Grizzlies,13603750,Rudy Gay, SF,2010-2011,0.950782998
San Antonio Spurs,18835381,Tim Duncan, C,2010-2011,0.948545861
Portland Trail Blazers,13603750,Brandon Roy, SG,2010-2011,0.946308725
San Antonio Spurs,13500000,Tony Parker, PG,2010-2011,0.944071588
Sacramento Kings,13428129,Samuel Dalembert, C,2010-2011,0.941834452
Cleveland Cavaliers,13358905,Antawn Jamison, PF,2010-2011,0.939597315
Oklahoma City Thunder,13270000,Nick Collison, F,2010-2011,0.937360179
New York Knicks,13150000,Chauncey Billups, PG,2010-2011,0.935123043
Utah Jazz,13000000,Al Jefferson, C,2010-2011,0.932885906
Dallas Mavericks,12600000,Tyson Chandler, C,2010-2011,0.93064877
Detroit Pistons,12500000,Richard Hamilton, SG,2010-2011,0.928411633
Philadelphia 76ers,12345250,Andre Iguodala, SG,2010-2011,0.926174497
Boston Celtics,18832044,Kevin Garnett, PF,2010-2011,0.92393736
San Antonio Spurs,11854584,Manu Ginobili, G,2010-2011,0.921700224
Milwaukee Bucks,18300000,Michael Redd, SG,2010-2011,0.919463087
Los Angeles Lakers,17823000,Pau Gasol, C,2010-2011,0.917225951
Utah Jazz,17823000,Andrei Kirilenko, SF,2010-2011,0.914988814
Washington Wizards,17730694,Gilbert Arenas, PG,2010-2011,0.912751678
Houston Rockets,17686100,Yao Ming, C,2010-2011,0.910514541
LA Clippers,11800000,Chris Kaman, C,2010-2011,0.908277405
Portland Trail Blazers,11749832,Marcus Camby, C,2010-2011,0.906040268
Atlanta Hawks,11700000,Josh Smith, PF,2010-2011,0.903803132
Miami Heat,11530592,Eddy Curry, C,2010-2011,0.901565996
New Orleans Hornets,11495000,Emeka Okafor, C,2010-2011,0.899328859
Denver Nuggets,11360000,Nene Hilario, C,2010-2011,0.897091723
Chicago Bulls,11345000,Luol Deng, SF,2010-2011,0.894854586
Portland Trail Blazers,11244000,LaMarcus Aldridge, PF,2010-2011,0.89261745
Detroit Pistons,11148760,Tayshaun Prince, SF,2010-2011,0.890380313
Milwaukee Bucks,11000000,Andrew Bogut, C,2010-2011,0.888143177
Golden State Warriors,11000000,Monta Ellis, SG,2010-2011,0.88590604
Indiana Pacers,10973202,Danny Granger, SF,2010-2011,0.883668904
Golden State Warriors,10800000,David Lee, PF,2010-2011,0.881431767
Atlanta Hawks,10800000,Jamal Crawford, SG,2010-2011,0.879194631
Detroit Pistons,10800000,Ben Gordon, SG,2010-2011,0.876957494
Houston Rockets,10600005,Kevin Martin, SG,2010-2011,0.874720358
Indiana Pacers,10561984,Mike Dunleavy, SG,2010-2011,0.872483221
Dallas Mavericks,10561960,Caron Butler, SF,2010-2011,0.870246085
Charlotte Bobcats,10500000,Gerald Wallace, SF,2010-2011,0.868008949
Phoenix Suns,10310938,Steve Nash, PG,2010-2011,0.865771812
Phoenix Suns,10215850,Hedo Turkoglu, SF,2010-2011,0.863534676
Boston Celtics,10000000,Ray Allen, SG,2010-2011,0.861297539
Utah Jazz,9945000,Mehmet Okur, C,2010-2011,0.859060403
Dallas Mavericks,9873000,Jason Terry, G,2010-2011,0.856823266
Milwaukee Bucks,9600000,Corey Maggette, SF,2010-2011,0.85458613
LA Clippers,9500000,Cuttino Mobley, SG,2010-2011,0.852348993
LA Clippers,9300000,Mo Williams, PG,2010-2011,0.850111857
Washington Wizards,9100000,Kirk Hinrich, SG,2010-2011,0.84787472
Boston Celtics,9090911,Rajon Rondo, PG,2010-2011,0.845637584
Golden State Warriors,9000000,Andris Biedrins, C,2010-2011,0.843400447
Charlotte Bobcats,9000000,Boris Diaw, C,2010-2011,0.841163311
Toronto Raptors,9000000,Jose Calderon, PG,2010-2011,0.838926174
Utah Jazz,8981000,Devin Harris, PG,2010-2011,0.836689038
Dallas Mavericks,8610500,Jason Kidd, PG,2010-2011,0.834451902
Toronto Raptors,8500000,Andrea Bargnani, C,2010-2011,0.832214765
Indiana Pacers,8500000,T.J. Ford, PG,2010-2011,0.829977629
Charlotte Bobcats,8453250,Stephen Jackson, SF,2010-2011,0.827740492
San Antonio Spurs,8400000,Richard Jefferson, F,2010-2011,0.825503356
New Orleans Hornets,8287500,David West, F,2010-2011,0.823266219
Los Angeles Lakers,8200000,Lamar Odom, PF,2010-2011,0.821029083
Dallas Mavericks,6900000,Brendan Haywood, C,2010-2011,0.818791946
Charlotte Bobcats,6883800,Nazr Mohammed, C,2010-2011,0.81655481
Golden State Warriors,6883800,Vladimir Radmanovic, SF,2010-2011,0.814317673
Philadelphia 76ers,6850000,Andres Nocioni, SF,2010-2011,0.812080537
Miami Heat,6760524,Greg Oden, C,2010-2011,0.8098434
Denver Nuggets,6757851,JR Smith, SG,2010-2011,0.807606264
Oklahoma City Thunder,6696720,Kendrick Perkins, C,2010-2011,0.805369128
Oklahoma City Thunder,6665000,Morris Peterson, SG,2010-2011,0.803131991
Indiana Pacers,6655000,Jeff Foster, PF,2010-2011,0.800894855
Philadelphia 76ers,6641440,Jason Kapono, SG,2010-2011,0.798657718
Charlotte Bobcats,6611570,Tyrus Thomas, PF,2010-2011,0.796420582
Chicago Bulls,6600000,Jerome James, C,2010-2011,0.794183445
Phoenix Suns,6500000,Josh Childress, F,2010-2011,0.791946309
Sacramento Kings,6478600,Beno Udrih, PG,2010-2011,0.789709172
Charlotte Bobcats,6478600,DeSagana Diop, C,2010-2011,0.787472036
Chicago Bulls,6466600,Mike James, PG,2010-2011,0.785234899
New Orleans Hornets,6322320,Trevor Ariza, SF,2010-2011,0.782997763
Los Angeles Lakers,6322320,Metta World Peace, SF,2010-2011,0.780760626
New York Knicks,6322320,Rasheed Wallace, PF,2010-2011,0.77852349
Phoenix Suns,6322320,Marcin Gortat, C,2010-2011,0.776286353
Oklahoma City Thunder,6053663,Kevin Durant, SF,2010-2011,0.774049217
Milwaukee Bucks,8000000,John Salmons, SF,2010-2011,0.771812081
Miami Heat,7967375,Mark Blount, C,2010-2011,0.769574944
Orlando Magic,7800000,Jameer Nelson, G,2010-2011,0.767337808
Houston Rockets,7775378,Luis Scola, F,2010-2011,0.765100671
Charlotte Bobcats,7725470,Joel Przybilla, C,2010-2011,0.762863535
Utah Jazz,7600000,Paul Millsap, PF,2010-2011,0.760626398
Memphis Grizzlies,7354500,Shane Battier, SF,2010-2011,0.758389262
Cleveland Cavaliers,7281818,Anderson Varejao, C,2010-2011,0.756152125
Portland Trail Blazers,7269264,Andre Miller, PG,2010-2011,0.753914989
Atlanta Hawks,7262500,Marvin Williams, PF,2010-2011,0.751677852
Orlando Magic,7250000,JJ Redick, SG,2010-2011,0.749440716
New Jersey Nets,7248325,Dan Gadzuric, C,2010-2011,0.747203579
Indiana Pacers,7148800,James Posey, SF,2010-2011,0.744966443
Toronto Raptors,7100000,Leandro Barbosa, G,2010-2011,0.742729306
Brooklyn Nets,7100000,Marko Jaric, PG,2010-2011,0.74049217
Dallas Mavericks,7055500,Shawn Marion, SG,2010-2011,0.738255034
Detroit Pistons,7020000,Charlie Villanueva, PF,2010-2011,0.736017897
New York Knicks,7000000,Raymond Felton, PG,2010-2011,0.733780761
New Jersey Nets,7000000,Travis Outlaw, SF,2010-2011,0.731543624
Washington Wizards,5904152,Andray Blatche, C,2010-2011,0.729306488
Denver Nuggets,5765000,Al Harrington, PF,2010-2011,0.727069351
Milwaukee Bucks,5765000,Drew Gooden, PF,2010-2011,0.724832215
Portland Trail Blazers,5765000,Wesley Matthews, SG,2010-2011,0.722595078
Houston Rockets,5750000,Kyle Lowry, PG,2010-2011,0.720357942
Chicago Bulls,5546160,Derrick Rose, PG,2010-2011,0.718120805
Oklahoma City Thunder,5543116,Nenad Krstic, C,2010-2011,0.715883669
Sacramento Kings,5500000,Francisco Garcia, SG,2010-2011,0.713646532
New Jersey Nets,5475113,Sasha Vujacic, SG,2010-2011,0.711409396
Atlanta Hawks,5444857,Al Horford, C,2010-2011,0.70917226
LA Clippers,5357280,Blake Griffin, PF,2010-2011,0.706935123
Phoenix Suns,5300000,Mickael Pietrus, SF,2010-2011,0.704697987
Los Angeles Lakers,5260000,Luke Walton, SF,2010-2011,0.70246085
Atlanta Hawks,5209454,Speedy Claxton, PG,2010-2011,0.700223714
Phoenix Suns,5200000,Channing Frye, F,2010-2011,0.697986577
Washington Wizards,5144280,John Wall, PG,2010-2011,0.695749441
Toronto Raptors,5080000,Reggie Evans, C,2010-2011,0.693512304
Detroit Pistons,5000000,Jason Maxiell, PF,2010-2011,0.691275168
Chicago Bulls,5000000,Kyle Korver, SG,2010-2011,0.689038031
Toronto Raptors,4995000,Linas Kleiza, SF,2010-2011,0.686800895
Minnesota Timberwolves,4962240,Michael Beasley, SF,2010-2011,0.684563758
Memphis Grizzlies,4913077,Mike Conley, PG,2010-2011,0.682326622
San Antonio Spurs,4860000,Antonio McDyess, PF,2010-2011,0.680089485
Toronto Raptors,4847586,Marcus Banks, PG,2010-2011,0.677852349
Philadelphia 76ers,4818000,Darius Songaila, PF,2010-2011,0.675615213
Minnesota Timberwolves,4800000,Martell Webster, SF,2010-2011,0.673378076
Memphis Grizzlies,4793280,Hasheem Thabeet, C,2010-2011,0.67114094
Chicago Bulls,4790000,Ronnie Brewer, SF,2010-2011,0.668903803
Philadelphia 76ers,4602720,Evan Turner, SG,2010-2011,0.666666667
Toronto Raptors,4600000,Jarrett Jack, G,2010-2011,0.66442953
Denver Nuggets,4533300,Chris Andersen, PF,2010-2011,0.662192394
Memphis Grizzlies,4456200,O.J. Mayo, SG,2010-2011,0.659955257
Oklahoma City Thunder,4455988,Jeff Green, SF,2010-2011,0.657718121
Golden State Warriors,4447792,Charlie Bell, SG,2010-2011,0.655480984
Houston Rockets,4400000,Brad Miller, C,2010-2011,0.653243848
Minnesota Timberwolves,4325000,Darko Milicic, C,2010-2011,0.651006711
Oklahoma City Thunder,4304520,James Harden, PG,2010-2011,0.648769575
Charlotte Bobcats,4300000,Matt Carroll, SG,2010-2011,0.646532438
Minnesota Timberwolves,4275000,Nikola Pekovic, C,2010-2011,0.644295302
Atlanta Hawks,4251250,Zaza Pachulia, C,2010-2011,0.642058166
Phoenix Suns,4250000,Hakim Warrick, PF,2010-2011,0.639821029
LA Clippers,4250000,Randy Foye, SG,2010-2011,0.637583893
Oklahoma City Thunder,4200000,Nate Robinson, PG,2010-2011,0.635346756
Dallas Mavericks,4151786,DeShawn Stevenson, SG,2010-2011,0.63310962
Utah Jazz,4133280,Derrick Favors, PF,2010-2011,0.630872483
San Antonio Spurs,4100000,Bruce Bowen, SF,2010-2011,0.628635347
Memphis Grizzlies,4080915,Greg Buckner, SG,2010-2011,0.62639821
Washington Wizards,4050499,Yi Jianlian, SF,2010-2011,0.624161074
Oklahoma City Thunder,4017720,Russell Westbrook, PG,2010-2011,0.621923937
Cleveland Cavaliers,4015334,Daniel Gibson, SG,2010-2011,0.619686801
New York Knicks,4000000,Ronny Turiaf, C,2010-2011,0.617449664
Minnesota Timberwolves,4000000,Luke Ridnour, PG,2010-2011,0.615212528
LA Clippers,4000000,Ryan Gomes, SF,2010-2011,0.612975391
New Orleans Hornets,3976000,Willie Green, SG,2010-2011,0.610738255
Cleveland Cavaliers,3964320,Ramon Sessions, G,2010-2011,0.608501119
Sacramento Kings,3880920,Tyreke Evans, SG,2010-2011,0.606263982
Minnesota Timberwolves,3875000,Corey Brewer, F,2010-2011,0.604026846
New Jersey Nets,3750000,Jordan Farmar, PG,2010-2011,0.601789709
Minnesota Timberwolves,3726600,Wesley Johnson, SF,2010-2011,0.599552573
Utah Jazz,3700000,CJ Miles, SF,2010-2011,0.597315436
Los Angeles Lakers,3700000,Derek Fisher, PG,2010-2011,0.5950783
Minnesota Timberwolves,3638280,Kevin Love, PF,2010-2011,0.592841163
Chicago Bulls,3600000,C.J. Watson, PG,2010-2011,0.590604027
Memphis Grizzlies,3573333,Marc Gasol, C,2010-2011,0.58836689
New York Knicks,3567096,Timofey Mozgov, C,2010-2011,0.586129754
Golden State Warriors,3540000,Dorell Wright, SF,2010-2011,0.583892617
Orlando Magic,3500000,Chris Duhon, PG,2010-2011,0.581655481
Miami Heat,3500000,Udonis Haslem, PF,2010-2011,0.579418345
Charlotte Bobcats,3500000,Shaun Livingston, PG,2010-2011,0.577181208
San Antonio Spurs,3400000,Tiago Splitter, C,2010-2011,0.574944072
New Jersey Nets,3398072,Brandan Wright, F,2010-2011,0.572706935
Sacramento Kings,3374640,DeMarcus Cousins, C,2010-2011,0.570469799
New York Knicks,3304560,Danilo Gallinari, SF,2010-2011,0.568232662
Miami Heat,3300000,Joel Anthony, PF,2010-2011,0.565995526
Cleveland Cavaliers,3300000,Kelenna Azubuike, SF,2010-2011,0.563758389
Oklahoma City Thunder,3250000,Thabo Sefolosha, SF,2010-2011,0.561521253
Detroit Pistons,3250000,Will Bynum, PG,2010-2011,0.559284116
New Jersey Nets,3250000,Johan Petro, C,2010-2011,0.55704698
Phoenix Suns,3240000,Grant Hill, SF,2010-2011,0.554809843
New Jersey Nets,3200000,Kris Humphries, PF,2010-2011,0.552572707
Minnesota Timberwolves,3192000,Jonny Flynn, PG,2010-2011,0.55033557
Chicago Bulls,3128536,Joakim Noah, C,2010-2011,0.548098434
Golden State Warriors,3065040,Ekpe Udoh, C,2010-2011,0.545861298
San Antonio Spurs,3050000,Matt Bonner, C,2010-2011,0.543624161
LA Clippers,3016680,Eric Gordon, SG,2010-2011,0.541387025
Boston Celtics,3000004,Glen Davis, PF,2010-2011,0.539149888
Utah Jazz,3000000,Raja Bell, SG,2010-2011,0.536912752
LA Clippers,3000000,Jamario Moon, SF,2010-2011,0.534675615
Charlotte Bobcats,3000000,Eduardo Najera, PF,2010-2011,0.532438479
Memphis Grizzlies,3000000,Tony Allen, SG,2010-2011,0.530201342
Detroit Pistons,3000000,Chris Wilcox, PF,2010-2011,0.527964206
Philadelphia 76ers,2974320,Spencer Hawes, PF,2010-2011,0.525727069
Golden State Warriors,2913840,Stephen Curry, PG,2010-2011,0.523489933
Philadelphia 76ers,2901241,Thaddeus Young, PF,2010-2011,0.521252796
Toronto Raptors,2858057,Julian Wright, SF,2010-2011,0.51901566
Cleveland Cavaliers,2855769,Anthony Parker, SG,2010-2011,0.516778523
Minnesota Timberwolves,2840000,Mark Madsen, PF,2010-2011,0.514541387
Detroit Pistons,2798040,Greg Monroe, C,2010-2011,0.512304251
Detroit Pistons,2767126,Rodney Stuckey, PG,2010-2011,0.510067114
Minnesota Timberwolves,2700000,Sebastian Telfair, PG,2010-2011,0.507829978
Houston Rockets,2669520,Jordan Hill, C,2010-2011,0.505592841
Washington Wizards,2630503,Nick Young, G,2010-2011,0.503355705
LA Clippers,2563320,Al-Farouq Aminu, PF,2010-2011,0.501118568
Charlotte Bobcats,2540000,D.J. Augustin, PG,2010-2011,0.498881432
Washington Wizards,2500000,Maurice Evans, SG,2010-2011,0.496644295
Indiana Pacers,2500000,Dahntay Jones, SG,2010-2011,0.494407159
Toronto Raptors,2500000,David Andersen, C,2010-2011,0.492170022
Toronto Raptors,2453880,DeMar DeRozan, SG,2010-2011,0.489932886
New Jersey Nets,2413320,Brook Lopez, C,2010-2011,0.487695749
LA Clippers,2400000,Ricky Davis, SG,2010-2011,0.485458613
Boston Celtics,2388000,Marquis Daniels, SG,2010-2011,0.483221477
New Orleans Hornets,2380270,Marco Belinelli, G,2010-2011,0.48098434
Utah Jazz,2356320,Gordon Hayward, SF,2010-2011,0.478747204
Cleveland Cavaliers,2333333,Ryan Hollins, C,2010-2011,0.476510067
Milwaukee Bucks,2331120,Brandon Jennings, G,2010-2011,0.474272931
Milwaukee Bucks,2320500,Ersan Ilyasova, PF,2010-2011,0.472035794
LA Clippers,2300000,Craig Smith, PF,2010-2011,0.469798658
Toronto Raptors,2292600,Jerryd Bayless, PG,2010-2011,0.467561521
Orlando Magic,2265000,Quentin Richardson, SF,2010-2011,0.465324385
Indiana Pacers,2238360,Paul George, SF,2010-2011,0.463087248
Golden State Warriors,2225000,Lou Amundson, PF,2010-2011,0.460850112
New Jersey Nets,2214480,Terrence Williams, SG,2010-2011,0.458612975
Minnesota Timberwolves,2200000,Anthony Tolliver, PF,2010-2011,0.456375839
New Orleans Hornets,2187913,Jason Smith, PF,2010-2011,0.454138702
Sacramento Kings,2178000,Jason Thompson, PF,2010-2011,0.451901566
Oklahoma City Thunder,2169857,Daequan Cook, SG,2010-2011,0.44966443
Phoenix Suns,2151068,Jared Dudley, SF,2010-2011,0.447427293
Los Angeles Lakers,2149200,Shannon Brown, PG,2010-2011,0.445190157
New York Knicks,2130482,Wilson Chandler, SF,2010-2011,0.44295302
Oklahoma City Thunder,2126520,Cole Aldrich, C,2010-2011,0.440715884
Charlotte Bobcats,2103840,Gerald Henderson, SG,2010-2011,0.438478747
Milwaukee Bucks,2080000,Keyon Dooling, PG,2010-2011,0.436241611
Detroit Pistons,2080000,Ben Wallace, PF,2010-2011,0.434004474
Indiana Pacers,2069040,Brandon Rush, SG,2010-2011,0.431767338
Orlando Magic,2062800,Anthony Johnson, PG,2010-2011,0.429530201
Houston Rockets,2062800,Brent Barry, SG,2010-2011,0.427293065
Memphis Grizzlies,2020200,Xavier Henry, SG,2010-2011,0.425055928
Phoenix Suns,2016692,Aaron Brooks, G,2010-2011,0.422818792
Indiana Pacers,1998600,Tyler Hansbrough, PF,2010-2011,0.420581655
Toronto Raptors,1990000,Rasho Nesterovic, C,2010-2011,0.418344519
Houston Rockets,1972500,Chuck Hayes, PF,2010-2011,0.416107383
Phoenix Suns,1972000,Goran Dragic, PG,2010-2011,0.413870246
New York Knicks,1965720,Anthony Randolph, SF,2010-2011,0.41163311
Denver Nuggets,1959577,Arron Afflalo, G,2010-2011,0.409395973
Toronto Raptors,1919160,Ed Davis, PF,2010-2011,0.407158837
Phoenix Suns,1898760,Earl Clark, SF,2010-2011,0.4049217
Phoenix Suns,1867320,Robin Lopez, C,2010-2011,0.402684564
Houston Rockets,1823280,Patrick Patterson, PF,2010-2011,0.400447427
Houston Rockets,1823280,Dikembe Mutombo, C,2010-2011,0.398210291
Dallas Mavericks,1815000,J.J. Barea, PG,2010-2011,0.395973154
Detroit Pistons,1803720,Austin Daye, SF,2010-2011,0.393736018
Chicago Bulls,1800000,Kurt Thomas, PF,2010-2011,0.391498881
Philadelphia 76ers,1773960,Marreese Speights, F,2010-2011,0.389261745
Los Angeles Lakers,1765000,Matt Barnes, SF,2010-2011,0.387024609
Milwaukee Bucks,1731960,Larry Sanders, PF,2010-2011,0.384787472
Chicago Bulls,1721000,Omer Asik, C,2010-2011,0.382550336
Toronto Raptors,1713600,James Johnson, PF,2010-2011,0.380313199
Indiana Pacers,1685280,Roy Hibbert, C,2010-2011,0.378076063
New York Knicks,1675000,Renaldo Balkman, SF,2010-2011,0.375838926
Portland Trail Blazers,1645440,Luke Babbitt, F,2010-2011,0.37360179
Boston Celtics,1629120,Sean Williams, PF,2010-2011,0.371364653
Philadelphia 76ers,1627920,Jrue Holiday, PG,2010-2011,0.369127517
Washington Wizards,1601040,JaVale McGee, C,2010-2011,0.36689038
Memphis Grizzlies,1600000,Hamed Haddadi, C,2010-2011,0.364653244
Chicago Bulls,1600000,Keith Bogans, SG,2010-2011,0.362416107
Washington Wizards,1563120,Kevin Seraphin, C,2010-2011,0.360178971
Denver Nuggets,1546560,Ty Lawson, G,2010-2011,0.357941834
Cleveland Cavaliers,1528920,JJ Hickson, C,2010-2011,0.355704698
Indiana Pacers,1500000,Solomon Jones, PF,2010-2011,0.353467562
LA Clippers,1485000,Eric Bledsoe, PG,2010-2011,0.351230425
Atlanta Hawks,1476840,Jeff Teague, PG,2010-2011,0.348993289
Toronto Raptors,1467840,Alexis Ajinca, C,2010-2011,0.346756152
Boston Celtics,1418160,Avery Bradley, SG,2010-2011,0.344519016
Oklahoma City Thunder,1417800,Eric Maynor, PG,2010-2011,0.342281879
Orlando Magic,1409040,Ryan Anderson, PF,2010-2011,0.340044743
New York Knicks,1400000,Roger Mason Jr., SG,2010-2011,0.337807606
Utah Jazz,1381250,Ronnie Price, PG,2010-2011,0.33557047
San Antonio Spurs,1361400,James Anderson, SG,2010-2011,0.333333333
Indiana Pacers,1361040,Darren Collison, PG,2010-2011,0.331096197
Houston Rockets,1352640,Courtney Lee, SG,2010-2011,0.32885906
Miami Heat,1352181,Eddie House, SG,2010-2011,0.326621924
Miami Heat,1352181,Zydrunas Ilgauskas, C,2010-2011,0.324384787
Boston Celtics,1352181,Shaquille O'Neal, C,2010-2011,0.322147651
Milwaukee Bucks,1350000,Roko-Leni Ukic, PG,2010-2011,0.319910515
Philadelphia 76ers,1306920,Craig Brackins, PF,2010-2011,0.317673378
Minnesota Timberwolves,1298640,Kosta Koufos, C,2010-2011,0.315436242
Golden State Warriors,1254720,Elliot Williams, SG,2010-2011,0.313199105
Sacramento Kings,1254480,Omri Casspi, SF,2010-2011,0.310961969
Portland Trail Blazers,1246680,Rudy Fernandez, SG,2010-2011,0.308724832
Washington Wizards,1204560,Trevor Booker, F,2010-2011,0.306487696
Oklahoma City Thunder,1204200,Serge Ibaka, PF,2010-2011,0.304250559
Oklahoma City Thunder,1204200,Byron Mullens, C,2010-2011,0.302013423
Oklahoma City Thunder,1200000,Royal Ivey, PG,2010-2011,0.299776286
Portland Trail Blazers,1196760,Nicolas Batum, SF,2010-2011,0.29753915
New Jersey Nets,1156320,Damion James, SF,2010-2011,0.295302013
Dallas Mavericks,1156080,Rodrigue Beaubois, PG,2010-2011,0.293064877
LA Clippers,1146337,Brian Cook, PF,2010-2011,0.29082774
Miami Heat,1146337,James Jones, SG,2010-2011,0.288590604
Memphis Grizzlies,1123680,Darrell Arthur, F,2010-2011,0.286353468
Chicago Bulls,1117680,Taj Gibson, PF,2010-2011,0.284116331
Dallas Mavericks,1110120,Dominique Jones, SG,2010-2011,0.281879195
Charlotte Bobcats,1108680,D.J. White, PF,2010-2011,0.279642058
Utah Jazz,1087500,Kyrylo Fesenko, C,2010-2011,0.277404922
Memphis Grizzlies,1085400,DeMarre Carroll, SF,2010-2011,0.275167785
Minnesota Timberwolves,1078800,Wayne Ellington, SG,2010-2011,0.272930649
New Orleans Hornets,1073280,Quincy Pondexter, SF,2010-2011,0.270693512
Minnesota Timberwolves,1071720,Alando Tucker, SF,2010-2011,0.268456376
New York Knicks,1071000,Toney Douglas, PG,2010-2011,0.266219239
Washington Wizards,1042320,Jordan Crawford, G,2010-2011,0.263982103
Memphis Grizzlies,1035960,Greivis Vasquez, PG,2010-2011,0.261744966
New Jersey Nets,1033342,Quinton Ross, SF,2010-2011,0.25950783
Washington Wizards,1030189,James Singleton, F,2010-2011,0.257270694
Cleveland Cavaliers,1029389,Jawad Williams, SF,2010-2011,0.255033557
New Orleans Hornets,1028840,Aaron Gray, C,2010-2011,0.252796421
Washington Wizards,1028400,Daniel Orton, C,2010-2011,0.250559284
Cleveland Cavaliers,1020960,Christian Eyenga, SF,2010-2011,0.248322148
Minnesota Timberwolves,1020960,Lazar Hayward, SF,2010-2011,0.246085011
Milwaukee Bucks,1000000,Jon Brockman, PF,2010-2011,0.243847875
New Jersey Nets,992680,Stephen Graham, SF,2010-2011,0.241610738
Cleveland Cavaliers,992680,Joey Graham, SF,2010-2011,0.239373602
Portland Trail Blazers,937195,Patty Mills, PG,2010-2011,0.237136465
Sacramento Kings,930700,Donte Greene, SF,2010-2011,0.234899329
San Antonio Spurs,918000,DeJuan Blair, C,2010-2011,0.232662192
Memphis Grizzlies,886000,Sam Young, SF,2010-2011,0.230425056
Dallas Mavericks,885120,Ian Mahinmi, C,2010-2011,0.228187919
New Orleans Hornets,885120,Pops Mensah-Bonsu, PF,2010-2011,0.225950783
Miami Heat,885120,Alexander Johnson, SF,2010-2011,0.223713647
Indiana Pacers,885120,Josh McRoberts, PF,2010-2011,0.22147651
Atlanta Hawks,884881,Salim Stoudamire, SG,2010-2011,0.219239374
